iter	RMSE
0	2.835837953
1	2.804868319
2	2.775572459
3	2.74667898
4	2.718354194
5	2.69168508
6	2.665857527
7	2.640444314
8	2.615624086
9	2.592907502
10	2.569248711
11	2.547629434
12	2.526019071
13	2.504769351
14	2.484993655
15	2.465610286
16	2.446736566
17	2.428643729
18	2.410958844
19	2.393374775
20	2.37634768
21	2.360238122
22	2.344983467
23	2.329601603
24	2.314515905
25	2.299724058
26	2.285807255
27	2.271801097
28	2.258250406
29	2.244922832
30	2.231925589
31	2.219199503
32	2.206785189
33	2.195455185
34	2.184429899
35	2.172472311
36	2.161493712
37	2.150192111
38	2.13964141
39	2.129256666
40	2.118885167
41	2.10877851
42	2.099262786
43	2.08958068
44	2.080517752
45	2.071460289
46	2.063138943
47	2.054316085
48	2.04664993
49	2.037783455
50	2.028926822
51	2.020130551
52	2.012829422
53	2.005537751
54	1.998469568
55	1.991200871
56	1.984072618
57	1.976813449
58	1.969693883
59	1.962297809
60	1.954431762
61	1.947324884
62	1.939871557
63	1.932460442
64	1.925898499
65	1.919110836
66	1.912918823
67	1.906024597
68	1.899411542
69	1.893531205
70	1.887825004
71	1.882709656
72	1.876929711
73	1.871688982
74	1.866291509
75	1.86124293
76	1.856116549
77	1.851185733
78	1.845814717
79	1.841610173
80	1.836372293
81	1.830918665
82	1.826328902
83	1.821660021
84	1.817007799
85	1.811974547
86	1.807801889
87	1.803078075
88	1.798401265
89	1.793768725
90	1.789666056
91	1.785284001
92	1.781295089
93	1.777166994
94	1.773009316
95	1.769342173
96	1.765090633
97	1.761228391
98	1.757533396
99	1.754067899
100	1.749991305
101	1.746755034
102	1.743433105
103	1.740110503
104	1.736062061
105	1.732763063
106	1.729670818
107	1.726328905
108	1.723141792
109	1.720035815
110	1.716575234
111	1.713184126
112	1.709824715
113	1.706373649
114	1.703420665
115	1.700551325
116	1.697074581
117	1.693835593
118	1.690751865
119	1.687539401
120	1.68461062
121	1.681633468
122	1.678958642
123	1.676180025
124	1.673321071
125	1.670586241
126	1.667504876
127	1.664413225
128	1.661759171
129	1.659056528
130	1.656483455
131	1.653794496
132	1.651085921
133	1.648772467
134	1.646132729
135	1.643504492
136	1.641370783
137	1.638751966
138	1.636079675
139	1.633525547
140	1.631290354
141	1.62866402
142	1.626275272
143	1.624057007
144	1.621675242
145	1.619232318
146	1.616754256
147	1.61486169
148	1.612746302
149	1.610554154
150	1.608227726
151	1.606218895
152	1.603946553
153	1.602045172
154	1.600037252
155	1.598056245
156	1.595775229
157	1.593664519
158	1.591609532
159	1.589628005
160	1.587847856
161	1.586082681
162	1.584277185
163	1.582416093
164	1.580583397
165	1.578911044
166	1.57695822
167	1.575035379
168	1.573068843
169	1.571600354
170	1.569891008
171	1.567998655
172	1.566294908
173	1.564801957
174	1.563267825
175	1.56175516
176	1.559772752
177	1.558107964
178	1.556163491
179	1.554369495
180	1.552657633
181	1.550702134
182	1.549367124
183	1.547789608
184	1.545924345
185	1.544218505
186	1.542757221
187	1.54126594
188	1.53993402
189	1.53851362
190	1.536918349
191	1.535280104
192	1.533540075
193	1.532098533
194	1.530557427
195	1.529265847
196	1.52772371
197	1.52614572
198	1.524792905
199	1.523574667
200	1.521983737
201	1.520462834
202	1.51933051
203	1.518227064
204	1.517033887
205	1.515771876
206	1.514364618
207	1.513106785
208	1.51185198
209	1.510490031
210	1.509368113
211	1.507904658
212	1.506676168
213	1.505612562
214	1.504386148
215	1.503042439
216	1.50189668
217	1.500689764
218	1.499804289
219	1.498761457
220	1.497516747
221	1.496123555
222	1.494899468
223	1.493909184
224	1.492706965
225	1.491827085
226	1.490619443
227	1.489614208
228	1.488649439
229	1.487659842
230	1.486553237
231	1.485474081
232	1.484190861
233	1.48239667
234	1.481583451
235	1.480651099
236	1.479440632
237	1.478325543
238	1.477394713
239	1.476374505
240	1.475105229
241	1.474095718
242	1.472645612
243	1.471730582
244	1.47072287
245	1.469880889
246	1.469001218
247	1.467724973
248	1.467044222
249	1.465789447
250	1.464826848
251	1.463754375
252	1.462309758
253	1.461241375
254	1.460486566
255	1.459575648
256	1.458428295
257	1.457390903
258	1.456373634
259	1.455220222
260	1.454328757
261	1.453208695
262	1.452456151
263	1.451438392
264	1.450576501
265	1.449901658
266	1.449006408
267	1.448408655
268	1.447653492
269	1.446723732
270	1.445720819
271	1.445164864
272	1.444368127
273	1.443514706
274	1.442329606
275	1.441237004
276	1.440447409
277	1.439317806
278	1.438570342
279	1.437581654
280	1.436607125
281	1.435884936
282	1.434816813
283	1.434001967
284	1.433092057
285	1.432228468
286	1.431405351
287	1.430620572
288	1.429943544
289	1.429065922
290	1.428154089
291	1.427111038
292	1.426439629
293	1.425744726
294	1.425117581
295	1.42437421
296	1.423546683
297	1.422643117
298	1.422042784
299	1.421272785
300	1.420526146
301	1.419859963
302	1.419162155
303	1.418241556
304	1.417381347
305	1.416775518
306	1.416131237
307	1.415464925
308	1.414805158
309	1.414088992
310	1.413365872
311	1.412851499
312	1.412295166
313	1.411607229
314	1.41103375
315	1.410313767
316	1.409577363
317	1.409082585
318	1.408136737
319	1.407498969
320	1.406768668
321	1.406197089
322	1.405589192
323	1.404727302
324	1.404208488
325	1.4036802
326	1.403108051
327	1.402534317
328	1.402028456
329	1.401460209
330	1.4009553
331	1.400114035
332	1.399292166
333	1.398835636
334	1.397982609
335	1.397609428
336	1.397019978
337	1.396632693
338	1.396175417
339	1.39571072
340	1.394929282
341	1.394562045
342	1.393686248
343	1.392915996
344	1.392313982
345	1.391750694
346	1.39121058
347	1.390536436
348	1.390071969
349	1.389442758
350	1.388802755
351	1.388236807
352	1.387745912
353	1.38735133
354	1.386553856
355	1.386073564
356	1.385578067
357	1.38492568
358	1.384264773
359	1.383589842
360	1.383076024
361	1.382455275
362	1.381785282
363	1.381373075
364	1.380894476
365	1.380495868
366	1.380115022
367	1.379421006
368	1.378988972
369	1.378537103
370	1.378073182
371	1.377574582
372	1.377105059
373	1.37651389
374	1.376156702
375	1.375572931
376	1.375219494
377	1.3744284
378	1.373780647
379	1.37330598
380	1.372919396
381	1.372390421
382	1.371925503
383	1.371297559
384	1.370753451
385	1.370308766
386	1.369633847
387	1.36928878
388	1.368886732
389	1.368469226
390	1.367882906
391	1.367403044
392	1.366772268
393	1.36633668
394	1.366047074
395	1.365664616
396	1.365097424
397	1.364431805
398	1.363737067
399	1.363404352
400	1.363076353
401	1.362408652
402	1.362081441
403	1.361332306
404	1.360585476
405	1.360009322
406	1.359421878
407	1.358954819
408	1.358366091
409	1.357756138
410	1.357301657
411	1.356910138
412	1.356366529
413	1.356084927
414	1.355652772
415	1.355354005
416	1.354716714
417	1.354234032
418	1.353805109
419	1.353459894
420	1.352689208
421	1.352314799
422	1.351938591
423	1.351559401
424	1.351154956
425	1.350734075
426	1.350326217
427	1.349766485
428	1.349357644
429	1.348908891
430	1.348421558
431	1.347956806
432	1.347437429
433	1.346956983
434	1.346424688
435	1.345955044
436	1.345379047
437	1.344876264
438	1.344388191
439	1.344074515
440	1.343688179
441	1.343361898
442	1.342900116
443	1.342441181
444	1.341970512
445	1.341541066
446	1.341250932
447	1.340985218
448	1.340648926
449	1.340299047
450	1.339862408
451	1.33939096
452	1.338981239
453	1.338628491
454	1.33834594
455	1.338035869
456	1.33762877
457	1.337332379
458	1.336857388
459	1.336508456
460	1.336183625
461	1.335749218
462	1.335335974
463	1.335033027
464	1.334732578
465	1.334408987
466	1.334018837
467	1.333588597
468	1.333206111
469	1.33285363
470	1.332435224
471	1.33217192
472	1.331733537
473	1.331451487
474	1.331102464
475	1.330769959
476	1.330326092
477	1.329948292
478	1.329537794
479	1.329170083
480	1.328884956
481	1.32843356
482	1.328005302
483	1.327769988
484	1.327453437
485	1.326883397
486	1.326674203
487	1.326315451
488	1.325889114
489	1.325482202
490	1.325228672
491	1.324985221
492	1.324573001
493	1.324278247
494	1.32391198
495	1.323482992
496	1.323177621
497	1.322926024
498	1.322580118
499	1.322284078
500	1.321982246
501	1.321778526
502	1.321372358
503	1.321091858
504	1.320820849
505	1.320520113
506	1.320105727
507	1.319911595
508	1.319577327
509	1.319288592
510	1.31903456
511	1.318795381
512	1.318442034
513	1.318118711
514	1.317776474
515	1.317440348
516	1.317025156
517	1.316686067
518	1.316468636
519	1.316165833
520	1.315983339
521	1.315733374
522	1.315385211
523	1.315091255
524	1.314932265
525	1.314477274
526	1.314220536
527	1.313821509
528	1.313606247
529	1.313346963
530	1.312965626
531	1.312716952
532	1.312375281
533	1.31211368
534	1.311681015
535	1.311410104
536	1.311204696
537	1.310923251
538	1.31058109
539	1.310290963
540	1.310106029
541	1.309716203
542	1.309391972
543	1.309135761
544	1.308893461
545	1.30859321
546	1.308376909
547	1.308092511
548	1.307884579
549	1.307720465
550	1.30739529
551	1.307205951
552	1.306908238
553	1.306694017
554	1.306474118
