iter	Passed	Remaining
0	515	772415
1	800	599637
2	1157	577586
3	1472	550585
4	1777	531557
5	2111	525694
6	2418	515931
7	2743	511648
8	3036	503112
9	3370	502182
10	3710	502294
11	4052	502465
12	4377	500745
13	4668	495519
14	4988	493891
15	5339	495263
16	5672	494884
17	5962	490890
18	6277	489329
19	6592	487810
20	6919	487362
21	7237	486233
22	7524	483189
23	7817	480758
24	8129	479633
25	8435	478241
26	8744	477076
27	9041	475305
28	9346	474095
29	9645	472651
30	9974	472669
31	10285	471866
32	10628	472464
33	10932	471393
34	11223	469779
35	11518	468415
36	11814	467152
37	12106	465769
38	12385	463997
39	12678	462755
40	12981	461940
41	13278	460961
42	13582	460232
43	13888	459599
44	14177	458419
45	14468	457335
46	14731	455414
47	15039	454935
48	15329	453936
49	15627	453186
50	15892	451534
51	16166	450179
52	16459	449367
53	16778	449281
54	17083	448842
55	17376	448057
56	17703	448176
57	17987	447194
58	18277	446410
59	18572	445737
60	18878	445335
61	19176	444767
62	19462	443940
63	19776	443736
64	20084	443400
65	20361	442396
66	20695	442641
67	20994	442111
68	21280	441334
69	21573	440722
70	21853	439832
71	22121	438749
72	22445	438769
73	22715	437741
74	22974	436513
75	23250	435650
76	23541	435065
77	23834	434525
78	24130	434035
79	24447	433934
80	24741	433438
81	25034	432915
82	25335	432526
83	25635	432139
84	25908	431294
85	26190	430621
86	26468	429877
87	26775	429620
88	27068	429142
89	27339	428323
90	27627	427772
91	27926	427398
92	28209	426788
93	28494	426202
94	28796	425884
95	29086	425389
96	29385	425023
97	29669	424455
98	29937	423662
99	30233	423270
100	30526	422838
101	30824	422470
102	31099	421805
103	31386	421308
104	31667	420723
105	31947	420136
106	32218	419437
107	32499	418879
108	32796	418537
109	33079	418002
110	33368	417555
111	33653	417062
112	33922	416381
113	34217	416007
114	34501	415520
115	34773	414884
116	35046	414263
117	35342	413924
118	35649	413719
119	35921	413096
120	36209	412670
121	36494	412203
122	36764	411583
123	37031	410932
124	37347	410826
125	37623	410271
126	37938	410157
127	38214	409607
128	38479	408955
129	38760	408474
130	39056	408153
131	39335	407661
132	39643	407462
133	39938	407138
134	40241	406890
135	40503	406230
136	40822	406141
137	41113	405769
138	41405	405411
139	41687	404963
140	41972	404543
141	42248	404041
142	42551	403794
143	42851	403516
144	43118	402935
145	43408	402566
146	43706	402274
147	43957	401556
148	44250	401220
149	44517	400659
150	44804	400271
151	45115	400107
152	45424	399917
153	45708	399500
154	45981	398998
155	46283	398753
156	46563	398308
157	46860	398016
158	47163	397776
159	47470	397567
160	47759	397208
161	48049	396854
162	48355	396634
163	48672	396499
164	48949	396042
165	49237	395683
166	49526	395325
167	49809	394919
168	50079	394414
169	50351	393929
170	50626	393463
171	50920	393156
172	51219	392881
